n,time
2,0.5103468894958496
3,0.744659423828125
4,1.058779239654541
5,1.2940723896026611
6,1.643651008605957
7,2.017277717590332
8,2.4648277759552
9,3.0024466514587402
10,3.4308290481567383
11,3.955460786819458
12,4.558351039886475
13,5.415779113769531
14,6.475888013839722
15,7.300011396408081
16,8.481101274490356
17,9.244732856750488
18,10.613439798355103
19,10.684873819351196
20,12.602257490158081
21,13.341817140579224
22,13.505733251571655
23,14.480173587799072
24,16.363930225372314
25,18.10211730003357
